Datetime,Serving_Cell_Id, Call_Id, ulMcs,dlMcs
2025-02-27 05:31:07.044,6436098,16168583,24,12,
2025-02-27 05:31:07.059,6436097,15886418,5,11,
2025-02-27 05:31:07.094,6436096,16168410,19,6,
2025-02-27 05:31:07.116,6436238,15940999,13,5,
2025-02-27 05:31:07.208,6436098,15886403,26,15,
2025-02-27 05:31:07.425,6436238,16167876,27,27,
2025-02-27 05:31:07.495,6436238,15886452,25,10,
2025-02-27 05:31:07.589,6436098,828959225,22,11,
2025-02-27 05:31:07.637,6436097,15796760,26,24,
2025-02-27 05:31:07.669,6436178,16168485,20,8,
2025-02-27 05:31:07.675,6436238,15796769,22,23,
2025-02-27 05:31:08.029,6436096,15941003,26,9,
2025-02-27 05:31:08.076,6436096,15885868,22,6,
2025-02-27 05:31:08.131,6436098,15886161,22,18,
2025-02-27 05:31:08.144,6436178,15796303,25,8,
2025-02-27 05:31:08.274,6436178,15796489,26,13,
2025-02-27 05:31:08.350,6436098,15796747,19,13,
2025-02-27 05:31:08.477,6436138,828964398,19,9,
2025-02-27 05:31:08.481,6436238,15796748,12,15,
2025-02-27 05:31:08.589,6436238,828964380,12,9,
2025-02-27 05:31:08.590,6436238,16291072,23,4,
2025-02-27 05:31:08.608,6436098,15940943,24,12,
2025-02-27 05:31:08.655,6436238,16168569,28,9,
2025-02-27 05:31:08.795,6436096,15941017,26,15,
2025-02-27 05:31:08.792,6436238,15941017,4294967295,4294967295,
2025-02-27 05:31:08.900,6436097,16290888,6,24,
2025-02-27 05:31:09.044,6436098,16168528,17,20,
2025-02-27 05:31:09.082,6436136,828964659,20,6,
2025-02-27 05:31:09.085,6436178,828962359,4294967295,7,
2025-02-27 05:31:09.092,6436098,828962359,20,10,
2025-02-27 05:31:09.350,6436098,16291008,5,13,
2025-02-27 05:31:09.352,6436238,16291008,4294967295,12,
2025-02-27 05:31:09.385,6436178,15796774,21,3,
2025-02-27 05:31:09.396,6436098,15940985,5,11,
2025-02-27 05:31:09.585,6436238,828963169,25,24,
2025-02-27 05:31:09.893,6436097,15796775,24,17,
2025-02-27 05:31:09.915,6436098,15941008,26,15,
2025-02-27 05:31:10.027,6436097,16166899,14,15,
2025-02-27 05:31:10.167,6436097,15796609,26,18,
2025-02-27 05:31:10.193,6436178,16168578,20,5,
2025-02-27 05:31:10.193,6436098,16168578,4294967295,4294967295,
2025-02-27 05:31:10.352,6436098,15886577,25,12,
2025-02-27 05:31:10.348,6436238,15886577,4294967295,4294967295,
2025-02-27 05:31:10.494,6436096,16291067,23,16,
2025-02-27 05:31:10.542,6436238,15796776,20,21,
2025-02-27 05:31:10.793,6436238,15886576,20,12,
2025-02-27 05:31:10.852,6436238,15796755,26,26,
2025-02-27 05:31:10.909,6436097,15940829,25,15,
2025-02-27 05:31:10.911,6436238,15940662,22,14,
2025-02-27 05:31:11.174,6436097,15886458,26,13,
2025-02-27 05:31:11.234,6436097,16291030,10,11,
2025-02-27 05:31:11.297,6436096,15940981,26,15,
2025-02-27 05:31:11.381,6436098,828963198,5,16,
2025-02-27 05:31:11.566,6436178,16291080,25,17,
2025-02-27 05:31:11.596,6436238,828963725,22,20,
2025-02-27 05:31:11.824,6436097,828962127,14,15,
2025-02-27 05:31:11.895,6436097,828964446,5,10,
2025-02-27 05:31:12.055,6436178,828964598,21,6,
2025-02-27 05:31:12.113,6436137,828964612,7,23,
2025-02-27 05:31:12.121,6436238,16102365,21,15,
2025-02-27 05:31:12.164,6436098,16168583,23,15,
2025-02-27 05:31:12.179,6436097,15886418,4,11,
2025-02-27 05:31:12.214,6436096,16168410,19,8,
2025-02-27 05:31:12.328,6436098,15886403,26,19,
2025-02-27 05:31:12.461,6436098,16291082,26,12,
2025-02-27 05:31:12.528,6436097,16168596,25,6,
2025-02-27 05:31:12.546,6436238,16167876,27,27,
2025-02-27 05:31:12.616,6436238,15886452,25,22,
2025-02-27 05:31:12.709,6436098,828959225,21,12,
2025-02-27 05:31:12.789,6436178,16168485,20,8,
2025-02-27 05:31:12.796,6436238,15796769,19,24,
2025-02-27 05:31:13.163,6436098,15885154,25,19,
2025-02-27 05:31:13.196,6436096,15885868,22,9,
2025-02-27 05:31:13.251,6436098,15886161,22,12,
2025-02-27 05:31:13.264,6436178,15796303,26,9,
2025-02-27 05:31:13.274,6436098,15940897,26,14,
2025-02-27 05:31:13.330,6436238,828964674,26,14,
2025-02-27 05:31:13.394,6436178,15796489,26,18,
2025-02-27 05:31:13.470,6436098,15796747,21,15,
2025-02-27 05:31:13.597,6436138,828964398,19,10,
2025-02-27 05:31:13.602,6436238,15796748,11,15,
2025-02-27 05:31:13.710,6436238,828964380,13,7,
2025-02-27 05:31:13.711,6436238,16291072,27,3,
2025-02-27 05:31:13.728,6436098,15940943,25,12,
2025-02-27 05:31:13.915,6436096,15941017,26,10,
2025-02-27 05:31:13.913,6436238,15941017,4294967295,4294967295,
2025-02-27 05:31:14.020,6436097,16290888,6,24,
2025-02-27 05:31:14.164,6436098,16168528,21,20,
2025-02-27 05:31:14.202,6436136,828964659,21,3,
2025-02-27 05:31:14.205,6436178,828962359,4294967295,12,
2025-02-27 05:31:14.212,6436098,828962359,20,11,
2025-02-27 05:31:14.505,6436178,15796774,21,7,
2025-02-27 05:31:14.516,6436098,15940985,4,8,
2025-02-27 05:31:14.662,6436137,15941021,4294967295,4294967295,
2025-02-27 05:31:14.662,6436097,15941021,25,13,
2025-02-27 05:31:14.706,6436238,828963169,27,20,
2025-02-27 05:31:14.772,6436238,15941034,27,22,
2025-02-27 05:31:15.049,6436097,16291088,26,18,
2025-02-27 05:31:15.147,6436097,16166899,15,16,
2025-02-27 05:31:15.287,6436097,15796609,26,16,
2025-02-27 05:31:15.472,6436098,15886577,23,13,
2025-02-27 05:31:15.469,6436238,15886577,4294967295,4294967295,
2025-02-27 05:31:15.548,6436178,16168602,25,14,
2025-02-27 05:31:15.663,6436238,15796776,17,21,
2025-02-27 05:31:15.914,6436238,15886576,20,17,
2025-02-27 05:31:15.973,6436238,15796755,26,19,
2025-02-27 05:31:16.029,6436097,15940829,26,17,
2025-02-27 05:31:16.032,6436238,15940662,22,15,
2025-02-27 05:31:16.294,6436097,15886458,26,18,
2025-02-27 05:31:16.354,6436097,16291030,13,16,
2025-02-27 05:31:16.367,6436238,16168605,15,5,
2025-02-27 05:31:16.417,6436096,15940981,26,10,
2025-02-27 05:31:16.501,6436098,828963198,4,18,
2025-02-27 05:31:16.584,6436097,15941036,22,10,
2025-02-27 05:31:16.717,6436238,828963725,22,19,
2025-02-27 05:31:16.852,6436098,16291091,26,4,
2025-02-27 05:31:16.944,6436097,828962127,16,16,
2025-02-27 05:31:17.015,6436097,828964446,6,9,
2025-02-27 05:31:17.161,6436098,16168606,24,16,
2025-02-27 05:31:17.175,6436178,828964598,21,5,
2025-02-27 05:31:17.233,6436137,828964612,9,24,
2025-02-27 05:31:17.242,6436238,16102365,22,15,
2025-02-27 05:31:17.266,6436238,16168608,26,21,
2025-02-27 05:31:17.284,6436098,16168583,25,15,
2025-02-27 05:31:17.299,6436097,15886418,5,10,
2025-02-27 05:31:17.334,6436096,16168410,18,15,
2025-02-27 05:31:17.444,6436097,15941038,25,10,
2025-02-27 05:31:17.448,6436098,15886403,26,17,
2025-02-27 05:31:17.538,6436097,15886588,8,22,
2025-02-27 05:31:17.667,6436238,16167876,27,26,
2025-02-27 05:31:17.737,6436238,15886452,22,20,
2025-02-27 05:31:17.829,6436098,828959225,22,12,
2025-02-27 05:31:17.909,6436178,16168485,21,5,
2025-02-27 05:31:17.917,6436238,15796769,20,17,
2025-02-27 05:31:18.283,6436098,15885154,26,20,
2025-02-27 05:31:18.316,6436096,15885868,21,2,
2025-02-27 05:31:18.371,6436098,15886161,22,16,
2025-02-27 05:31:18.384,6436178,15796303,26,12,
2025-02-27 05:31:18.394,6436098,15940897,26,14,
2025-02-27 05:31:18.451,6436238,828964674,26,12,
2025-02-27 05:31:18.514,6436178,15796489,26,15,
2025-02-27 05:31:18.590,6436098,15796747,20,15,
2025-02-27 05:31:18.723,6436238,15796748,11,14,
2025-02-27 05:31:18.831,6436238,828964380,11,8,
2025-02-27 05:31:18.848,6436098,15940943,25,7,
2025-02-27 05:31:19.001,6436097,16291093,26,12,
2025-02-27 05:31:19.140,6436097,16290888,8,25,
2025-02-27 05:31:19.284,6436098,16168528,20,22,
2025-02-27 05:31:19.322,6436136,828964659,22,4,
2025-02-27 05:31:19.325,6436178,828962359,4294967295,7,
2025-02-27 05:31:19.332,6436098,828962359,21,9,
2025-02-27 05:31:19.625,6436178,15796774,21,8,
2025-02-27 05:31:19.636,6436098,15940985,4,9,
2025-02-27 05:31:19.782,6436097,15941021,25,12,
2025-02-27 05:31:19.782,6436137,15941021,4294967295,4294967295,
2025-02-27 05:31:19.827,6436238,828963169,25,24,
2025-02-27 05:31:20.169,6436097,16291088,26,19,
2025-02-27 05:31:20.226,6436178,16168611,17,7,
2025-02-27 05:31:20.226,6436098,16168611,4294967295,4294967295,
2025-02-27 05:31:20.234,6436097,16168613,14,14,
2025-02-27 05:31:20.267,6436097,16166899,16,17,
2025-02-27 05:31:20.290,6436096,828964680,25,11,
2025-02-27 05:31:20.324,6436097,15941039,18,17,
2025-02-27 05:31:20.407,6436097,15796609,26,17,
