Datetime,Serving_Cell_Id, Call_Id, measurementId,rsrpRslt,rsrqRslt,nCellCount,pci_1,rsrp_1,rsrq_1,pci_2,rsrp_2,rsrq_2,pci_3,rsrp_3,rsrq_3,pci_4,rsrp_4,rsrq_4,pci_5,rsrp_5,rsrq_5,pci_6,rsrp_6,rsrq_6,pci_7,rsrp_7,rsrq_7,pci_8,rsrpv,rsrq_8
2025-02-27 05:30:56.115,6436098,16168572,9,55,25,1,388,39,0,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.135,6436238,16291058,8,40,21,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.135,6436097,828964549,14,50,7,3,394,51,8,357,49,4,217,45,0,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.145,6436178,16291057,10,47,17,2,182,44,10,442,41,7,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.185,6436098,16290850,8,50,23,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.225,6436238,16168154,9,36,23,1,253,29,9,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.225,6436238,828963441,10,37,23,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.245,6436098,16291047,8,50,23,1,387,50,18,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.115,6436238,15940934,8,38,23,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.155,6436097,15737616,15,75,22,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.185,6436238,15940833,10,53,23,1,155,36,5,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.185,6436238,15886566,8,39,22,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.255,6436097,15886552,8,50,23,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.275,6436098,828963198,8,35,17,1,225,32,11,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.295,6436238,828963725,6,50,23,1,155,39,2,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.295,6436096,15796749,9,49,10,5,11,48,8,389,47,4,334,46,5,117,46,3,241,44,0,,,,,,,,,,
2025-02-27 05:30:56.355,6436238,828963169,4,51,24,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.395,6436097,15796758,8,48,19,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.395,6436178,15729487,16,35,14,3,384,30,4,442,29,1,182,29,1,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.415,6436097,15886553,8,40,19,1,338,25,0,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.435,6436098,15796750,9,38,15,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.485,6436238,15796759,8,49,28,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.495,6436097,828964661,19,39,15,1,226,36,14,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.495,6436098,15796686,10,42,16,2,388,37,9,387,35,3,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.495,6436098,15796727,8,56,19,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.495,6436097,15886535,8,59,26,1,338,47,6,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.515,6436096,15941000,8,44,15,2,389,42,12,11,39,13,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.515,6436097,15796741,9,47,19,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.515,6436098,15794626,14,62,18,1,387,61,13,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.535,6436096,15886005,11,55,19,3,389,53,9,11,48,1,21,48,0,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.555,6436097,15883322,9,56,22,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.615,6436096,15941012,8,55,26,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.665,6436238,15886554,8,37,27,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.695,6436097,828964446,5,41,12,2,389,40,9,338,36,0,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.285,6436097,828964548,8,40,13,2,272,39,15,9,32,0,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.505,6436098,16291048,8,30,19,1,225,22,5,,,,,,,,,,,,,,,,,,,,,,
