Datetime,Serving_Cell_Id, Call_Id, uePhr
2025-02-27 05:33:34.942,6436098,15886777,21,
2025-02-27 05:33:35.147,6436096,15796991,26,
2025-02-27 05:33:35.186,6436097,828962127,10,
2025-02-27 05:33:35.188,6436098,15796967,10,
2025-02-27 05:33:35.236,6436247,828964380,255,
2025-02-27 05:33:35.236,6436237,828964380,31,
2025-02-27 05:33:35.248,6436096,829019503,38,
2025-02-27 05:33:35.314,6436096,15886757,34,
2025-02-27 05:33:35.349,6436238,15940897,30,
2025-02-27 05:33:35.359,6436098,829019519,2,
2025-02-27 05:33:35.347,6436247,829019519,255,
2025-02-27 05:33:35.371,6436247,15941183,29,
2025-02-27 05:33:35.378,6436238,15941183,255,
2025-02-27 05:33:35.417,6436178,828964598,36,
2025-02-27 05:33:35.475,6436137,828964612,15,
2025-02-27 05:33:35.528,6436096,829019534,40,
2025-02-27 05:33:35.570,6436098,829019557,12,
2025-02-27 05:33:35.641,6436238,15885154,28,
2025-02-27 05:33:35.690,6436098,15886403,26,
2025-02-27 05:33:35.722,6436098,15796992,14,
2025-02-27 05:33:35.717,6436238,15796992,255,
2025-02-27 05:33:35.723,6436138,828964706,16,
2025-02-27 05:33:35.761,6436178,16291284,30,
2025-02-27 05:33:35.782,6436096,829019552,19,
2025-02-27 05:33:36.052,6436096,829019557,26,
2025-02-27 05:33:36.071,6436098,828959225,39,
2025-02-27 05:33:36.072,6436096,15886779,52,
2025-02-27 05:33:36.067,6436238,15886779,255,
2025-02-27 05:33:36.115,6436097,15886706,32,
2025-02-27 05:33:36.117,6436238,15796969,30,
2025-02-27 05:33:36.271,6436097,15796912,29,
2025-02-27 05:33:36.336,6436178,828964691,38,
2025-02-27 05:33:36.341,6436097,16291319,30,
2025-02-27 05:33:36.368,6436098,15941149,38,
2025-02-27 05:33:36.374,6436238,15941149,255,
2025-02-27 05:33:36.432,6436097,15941242,29,
2025-02-27 05:33:36.499,6436097,15886772,28,
2025-02-27 05:33:36.493,6436247,15941247,255,
2025-02-27 05:33:36.505,6436097,15941247,33,
2025-02-27 05:33:36.521,6436098,15886780,17,
2025-02-27 05:33:36.556,6436238,16168808,28,
2025-02-27 05:33:36.613,6436098,15886161,42,
2025-02-27 05:33:36.648,6436178,16102365,33,
2025-02-27 05:33:36.643,6436238,15941248,10,
2025-02-27 05:33:36.801,6436097,15796942,36,
2025-02-27 05:33:36.833,6436098,15796747,19,
2025-02-27 05:33:36.917,6436098,15796898,9,
