Datetime,Serving_Cell_Id, Call_Id, uePhr,dlWidebandCqiCode0,dlWidebandCqiCode1,ulDmrsSinr,taValue,preambleTaValue,ulSrsSinr
2025-02-27 05:30:56.951,6436238,15796255,30,14,14,1342,0,48,1465,
2025-02-27 05:30:57.003,6436238,16168484,27,14,14,1004,32,48,982,
2025-02-27 05:30:57.038,6436096,15886526,39,7,8,2032,16,36,2147483647,
2025-02-27 05:30:57.111,6436097,15940967,0,10,255,626,96,108,2147483647,
2025-02-27 05:30:57.112,6436238,15886498,28,13,13,3147,32,48,2346,
2025-02-27 05:30:57.126,6436097,15796745,24,13,255,1871,0,0,2147483647,
2025-02-27 05:30:57.137,6436238,15941002,28,12,12,1136,64,72,881,
2025-02-27 05:30:57.170,6436098,15872833,32,7,11,2038,2048,84,2147483647,
2025-02-27 05:30:57.174,6436096,16222942,41,12,9,2366,0,24,2147483647,
2025-02-27 05:30:57.175,6436136,16222942,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:57.180,6436238,16222942,255,15,13,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:57.200,6436178,15886005,255,10,10,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:57.200,6436096,15886005,30,13,11,2273,16,60,2147483647,
2025-02-27 05:30:57.206,6436238,15886005,255,12,12,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:57.221,6436096,828964574,24,7,6,1023,64,84,2147483647,
2025-02-27 05:30:57.231,6436098,15884458,54,13,8,2476,16,36,2147483647,
2025-02-27 05:30:57.247,6436097,828964213,14,9,5,1243,0,60,2147483647,
2025-02-27 05:30:57.248,6436137,828964213,31,9,5,1679,4294967295,2147483647,2147483647,
2025-02-27 05:30:57.408,6436178,828964650,14,6,3,1343,64,84,2147483647,
2025-02-27 05:30:57.438,6436137,828964661,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:57.438,6436097,828964661,15,5,255,1022,48,84,2147483647,
2025-02-27 05:30:57.450,6436098,15941013,40,6,255,3334,16,24,2147483647,
2025-02-27 05:30:57.462,6436096,15940950,26,9,8,858,0,12,2147483647,
2025-02-27 05:30:57.471,6436138,15796686,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:57.471,6436098,15796686,14,6,6,2332,0,12,2147483647,
2025-02-27 05:30:57.492,6436178,16291060,50,14,15,3115,16,36,2147483647,
2025-02-27 05:30:57.528,6436097,16168564,15,7,8,1301,64,84,2147483647,
2025-02-27 05:30:57.545,6436238,15886544,24,15,15,2604,16,24,1896,
2025-02-27 05:30:57.603,6436238,15795556,32,13,13,3245,16,24,2523,
2025-02-27 05:30:57.673,6436097,15796741,29,7,8,1843,64,84,2147483647,
2025-02-27 05:30:57.673,6436137,15796741,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:57.674,6436097,15886568,17,6,5,611,0,12,2147483647,
2025-02-27 05:30:57.708,6436097,15796185,27,12,7,1438,64,96,2147483647,
2025-02-27 05:30:57.708,6436137,15796185,255,9,8,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:57.709,6436138,16290972,53,10,255,1958,48,72,2147483647,
2025-02-27 05:30:57.773,6436098,16168584,27,11,8,1638,48,60,2147483647,
2025-02-27 05:30:57.833,6436178,828964658,255,5,5,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:57.833,6436098,828964658,33,6,9,1305,32,60,2147483647,
2025-02-27 05:30:57.871,6436097,15941014,28,9,7,1730,96,108,2147483647,
2025-02-27 05:30:57.882,6436096,15940834,255,10,8,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:57.882,6436178,15940834,32,10,9,1838,0,24,2147483647,
2025-02-27 05:30:57.932,6436178,828964666,30,5,4,2015,48,60,2147483647,
2025-02-27 05:30:57.939,6436096,16168467,28,9,6,1019,48,96,2147483647,
2025-02-27 05:30:57.966,6436097,16291050,33,13,255,2429,16,24,2147483647,
2025-02-27 05:30:57.985,6436097,16168575,27,11,11,2216,0,24,2147483647,
2025-02-27 05:30:58.000,6436178,16291061,28,13,255,3133,64,72,2147483647,
2025-02-27 05:30:58.017,6436097,15796746,31,7,11,1979,32,48,2147483647,
2025-02-27 05:30:58.028,6436137,16290864,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:58.028,6436097,16290864,17,13,8,1250,16,36,2147483647,
2025-02-27 05:30:58.043,6436096,828963969,31,4,4,2388,64,96,2147483647,
2025-02-27 05:30:58.051,6436096,15886557,31,8,6,2162,0,12,2147483647,
2025-02-27 05:30:58.047,6436238,15886557,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:58.057,6436097,15886545,16,7,255,958,128,156,2147483647,
