Datetime,Serving_Cell_Id, Call_Id, eRabCount,eRabThroughputStatList[0].eRabId,eRabThroughputStatList[0].qci,eRabThroughputStatList[0].ulDataVolume,eRabThroughputStatList[0].dlDataVolume,eRabThroughputStatList[1].eRabId,eRabThroughputStatList[1].qci,eRabThroughputStatList[1].ulDataVolume,eRabThroughputStatList[1].dlDataVolume,eRabThroughputStatList[2].eRabId,eRabThroughputStatList[2].qci,eRabThroughputStatList[2].ulDataVolume,eRabThroughputStatList[2].dlDataVolume,eRabThroughputStatList[3].eRabId,eRabThroughputStatList[3].qci,eRabThroughputStatList[3].ulDataVolume,eRabThroughputStatList[3].dlDataVolume,eRabThroughputStatList[4].eRabId,eRabThroughputStatList[4].qci,eRabThroughputStatList[4].ulDataVolume,eRabThroughputStatList[4].dlDataVolume,eRabThroughputStatList[5].eRabId,eRabThroughputStatList[5].qci,eRabThroughputStatList[5].ulDataVolume,eRabThroughputStatList[5].dlDataVolume,eRabThroughputStatList[6].eRabId,eRabThroughputStatList[6].qci,eRabThroughputStatList[6].ulDataVolume,eRabThroughputStatList[6].dlDataVolume,eRabThroughputStatList[7].eRabId,eRabThroughputStatList[7].qci,eRabThroughputStatList[7].ulDataVolume,eRabThroughputStatList[7].dlDataVolume
2025-02-27 05:42:05.569,6436096,16169494,2,5,9,16794,5351,6,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:05.821,6436238,15941974,3,5,9,2064,594,6,5,0,0,7,8,0,7365,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:06.035,6436098,15797715,3,5,9,100220,130276,7,5,0,0,6,8,0,47245,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:06.105,6436098,15941533,3,5,9,195,197,6,5,0,0,7,1,11870,6126,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:06.129,6436238,15886921,3,5,9,27233,436394,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:06.233,6436098,15887449,2,5,9,13355,348197,7,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:06.568,6436098,15797712,1,5,8,36751,445326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:06.646,6436098,16169431,2,5,9,16925,621,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:06.962,6436098,15941955,3,5,9,0,0,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:07.005,6436097,15887473,3,5,9,391,111,6,8,0,299,7,5,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:07.009,6436097,16169566,2,5,8,20589,24441,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:07.200,6436097,828962127,3,5,9,2731,3391,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:07.254,6436098,15941938,2,5,9,0,0,6,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:07.251,6436238,15941938,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:07.269,6436096,15797719,1,5,8,263,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:07.302,6436096,828959225,2,5,9,11534,157693,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:07.351,6436097,15941976,2,5,9,210,208,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:07.554,6436096,16169549,2,5,8,2994,8761,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:07.704,6436098,15886403,3,5,9,6341,0,6,8,0,7301,7,7,0,13270,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:07.881,6436097,16169567,3,5,9,332,432,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:08.169,6436098,829020230,3,5,9,3504,3106,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:08.226,6436138,829020070,3,5,9,263114,415054,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:08.252,6436137,16291849,3,5,9,0,0,6,8,0,0,7,5,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:08.350,6436226,829020168,2,5,9,726,538,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:08.560,6436096,15887476,3,5,9,74,279,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:08.557,6436238,15941978,2,5,8,374,288,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:08.650,6436098,16291987,3,5,9,588,408,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:08.892,6436097,15887480,3,5,9,2277,320,6,5,0,0,7,8,0,6246,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:08.885,6436238,15887480,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:08.900,6436238,16102365,3,5,9,12591,11011,6,5,0,0,7,8,0,428688,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:09.014,6436097,16291914,3,5,9,0,0,6,8,0,0,7,5,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:09.070,6436098,16291742,3,5,9,6209,149070,6,8,0,218,7,5,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:09.146,6436238,829019968,3,5,9,63956,803969,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:09.180,6436098,15887469,2,6,5,0,0,8,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:09.244,6436098,829020036,2,5,9,25481,312484,6,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:09.300,6436097,16169539,3,5,9,1735,1246,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:09.502,6436238,15797458,3,5,9,1397,1344,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:09.690,6436098,15797579,2,5,8,3195,44255,6,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:09.829,6436137,15941977,2,5,9,0,0,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:09.829,6436097,15941977,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
