Datetime,Serving_Cell_Id, Call_Id, ulRetransErrorNumber,ulCrcInitTransTotalNumber,dlRetransErrorNumber,dlCode0InitTransTotalNumber,dlCode1InitTransTotalNumber,ulRbUsedNumber,dlRbUsedNumber,dlWidebandCqiCode0,dlWidebandCqiCode1,rankIndication
2025-02-27 05:30:59.868,6436097,15941001,0,6,0,3,3,0,8,12,14,1,
2025-02-27 05:30:59.865,6436238,15941001,4294967295,4294967295,0,0,0,4294967295,0,255,255,255,
2025-02-27 05:30:59.921,6436096,15796489,0,529,0,300,0,842,23310,6,6,0,
2025-02-27 05:30:59.928,6436097,15796609,0,94,0,189,0,414,6222,12,4,0,
2025-02-27 05:30:59.953,6436098,16168578,4294967295,4294967295,0,0,0,4294967295,0,255,255,255,
2025-02-27 05:30:59.954,6436178,16168578,0,447,0,9,1,25,14,7,3,0,
2025-02-27 05:31:00.077,6436097,16168553,0,21,0,82,82,62,6276,10,10,1,
2025-02-27 05:31:00.311,6436096,15796303,0,533,0,422,178,695,24392,8,6,0,
2025-02-27 05:31:00.375,6436096,15886564,0,471,0,20,6,342,113,11,9,0,
2025-02-27 05:31:00.454,6436096,16291067,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,9,255,0,
2025-02-27 05:31:00.483,6436097,15941010,0,16,0,15,5,208,47,8,10,1,
2025-02-27 05:31:00.511,6436097,15941021,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,12,12,1,
2025-02-27 05:31:00.574,6436097,16168581,0,38,0,55,1,509,607,9,5,0,
2025-02-27 05:31:00.611,6436238,15796755,1,65,0,68,46,146,286,15,15,1,
2025-02-27 05:31:00.669,6436097,15940829,0,13,0,10,0,41,15,13,7,0,
2025-02-27 05:31:00.670,6436238,15940662,0,25,0,66,66,137,6324,13,13,255,
2025-02-27 05:31:00.696,6436178,15940999,0,473,0,8,0,0,24,6,4,0,
2025-02-27 05:31:00.752,6436238,15886576,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,9,255,255,
2025-02-27 05:31:00.763,6436178,15796766,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,11,11,1,
2025-02-27 05:31:00.884,6436098,15886565,0,11,0,10,0,661,22,11,6,0,
2025-02-27 05:31:00.934,6436097,15886458,0,30,0,155,7,339,9219,6,9,1,
2025-02-27 05:31:00.994,6436097,16291030,0,249,0,569,12,9451,16694,13,6,0,
2025-02-27 05:31:01.057,6436096,15940981,0,463,0,4,4,7,9,13,8,0,
2025-02-27 05:31:01.142,6436098,828963198,0,412,0,546,0,11158,17653,12,5,0,
2025-02-27 05:31:01.280,6436178,16168561,4294967295,4294967295,0,0,0,4294967295,0,255,255,255,
2025-02-27 05:31:01.280,6436098,16168561,0,4,0,2,2,0,4,9,7,1,
2025-02-27 05:31:01.277,6436238,16168561,4294967295,4294967295,0,0,0,4294967295,0,255,255,255,
2025-02-27 05:31:01.290,6436097,15886552,0,21,0,2,2,0,4,13,10,1,
2025-02-27 05:31:01.300,6436098,16291047,0,13,0,15,0,212,36,12,255,0,
2025-02-27 05:31:01.355,6436238,828963725,0,60,0,110,111,315,3600,15,15,255,
2025-02-27 05:31:01.426,6436097,15796758,0,9,0,4,2,27,6,12,9,0,
2025-02-27 05:31:01.585,6436097,828962127,1,257,0,142,0,5830,694,9,14,0,
2025-02-27 05:31:01.655,6436097,828964446,1,218,0,32,0,1092,68,6,255,0,
2025-02-27 05:31:01.677,6436096,15941012,0,453,0,2,2,0,12,15,13,0,
2025-02-27 05:31:01.788,6436097,16168581,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,12,6,0,
2025-02-27 05:31:01.788,6436137,16168581,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,255,255,255,
2025-02-27 05:31:01.815,6436178,828964598,0,85,0,44,11,143,234,11,5,0,
2025-02-27 05:31:01.841,6436098,15886555,0,11,0,12,0,169,30,13,5,0,
2025-02-27 05:31:01.873,6436137,828964612,11,1246,0,460,0,16928,5529,12,15,0,
2025-02-27 05:31:01.880,6436238,16102365,0,62,0,90,92,133,206,15,15,255,
2025-02-27 05:31:01.924,6436098,16168583,0,11,0,5,1,64,13,8,6,0,
2025-02-27 05:31:01.940,6436097,15886418,9,939,0,575,0,8493,27873,8,4,0,
2025-02-27 05:31:01.974,6436096,16168410,0,436,0,13,0,26,57,11,4,0,
2025-02-27 05:31:02.089,6436098,15886403,0,68,0,523,526,194,38405,8,7,1,
2025-02-27 05:31:02.196,6436238,15940999,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,9,255,0,
2025-02-27 05:31:02.276,6436098,15886577,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,9,9,1,
2025-02-27 05:31:02.305,6436238,16167876,0,221,0,344,307,1106,6082,13,13,1,
2025-02-27 05:31:02.375,6436238,15886452,0,18,0,22,23,44,615,15,15,255,
2025-02-27 05:31:02.470,6436098,828959225,0,33,0,88,0,869,4826,6,3,0,
2025-02-27 05:31:02.517,6436097,15796760,0,21,0,29,29,120,120,12,13,1,
2025-02-27 05:31:02.549,6436178,16168485,0,508,0,14,0,525,28,6,4,0,
2025-02-27 05:31:02.755,6436238,15796769,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,15,255,255,
2025-02-27 05:31:02.910,6436096,15941003,0,500,0,5,4,0,16,8,11,1,
2025-02-27 05:31:02.924,6436098,828964667,0,20,0,19,0,753,320,6,3,0,
2025-02-27 05:31:02.940,6436238,16291031,0,2,0,3,0,4,8,14,255,0,
2025-02-27 05:31:02.956,6436096,15885868,0,538,0,423,248,612,37254,8,6,1,
2025-02-27 05:31:03.012,6436098,15886161,0,100,0,317,0,1623,17202,8,5,0,
2025-02-27 05:31:03.224,6436178,15796303,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4,5,1,
2025-02-27 05:31:03.231,6436098,15796747,0,10,0,11,11,175,32,7,9,1,
2025-02-27 05:31:03.354,6436178,15796489,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,9,7,1,
2025-02-27 05:31:03.358,6436138,828964398,0,647,0,410,0,3113,6784,6,2,0,
2025-02-27 05:31:03.363,6436178,15941012,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,9,255,0,
2025-02-27 05:31:03.361,6436238,15796748,0,11,0,5,4,65,7,15,15,255,
2025-02-27 05:31:03.408,6436096,16168576,0,505,0,2,2,0,4,12,9,1,
2025-02-27 05:31:03.463,6436097,15796761,0,5,0,7,0,15,27,9,255,0,
2025-02-27 05:31:03.469,6436238,828964380,0,13,0,10,0,96,22,8,255,255,
2025-02-27 05:31:03.488,6436098,15940943,0,5,0,2,0,0,4,8,4,0,
2025-02-27 05:31:03.535,6436238,16168569,0,24,0,9,9,14,18,13,13,255,
2025-02-27 05:31:03.670,6436238,16291072,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,8,255,255,
2025-02-27 05:31:03.675,6436096,15941017,0,500,0,55,55,480,191,10,8,1,
2025-02-27 05:31:03.672,6436238,15941017,4294967295,4294967295,0,0,0,4294967295,0,255,255,255,
2025-02-27 05:31:03.781,6436097,16290888,0,114,0,297,0,4668,7679,12,11,0,
2025-02-27 05:31:03.924,6436098,16168528,0,37,0,54,55,1086,273,13,15,1,
2025-02-27 05:31:03.962,6436136,828964659,0,376,0,50,0,138,958,6,255,0,
